epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6737,4.24908,3.69301,4.1638,0.00188,0.03784,0.00111,0.0004,3.99361,3.74925,4.1524,0.00026,0.00026,0.00026
2,110.373,4.18575,3.11804,3.98896,0.0019,0.03828,0.00116,0.00041,3.97054,3.6506,4.11531,0.000534654,0.000534654,0.000534654
3,168.22,3.57358,2.40189,3.65645,0.00303,0.0609,0.00179,0.00066,3.92952,3.58737,4.05834,0.000803764,0.000803764,0.000803764
4,221.405,3.14826,2.17283,3.20541,0.00271,0.05437,0.00162,0.00055,3.90779,3.59735,4.04668,0.00106733,0.00106733,0.00106733
5,279.569,2.88538,1.98762,2.91347,0.01584,0.3184,0.01167,0.00408,3.7205,3.28032,3.84328,0.00132535,0.00132535,0.00132535
6,332.936,2.72317,1.89242,2.68615,0.00508,0.10178,0.00548,0.00151,3.74233,3.76555,4.02135,0.00157783,0.00157783,0.00157783
7,385.008,2.61424,1.81979,2.53428,0.2179,0.10396,0.07364,0.02314,2.99743,2.92431,3.28455,0.00182476,0.00182476,0.00182476
8,437.213,2.52437,1.83551,2.42612,0.36987,0.08047,0.08043,0.02661,2.8438,3.18879,3.41367,0.0018614,0.0018614,0.0018614
9,491.991,2.41368,1.7251,2.30211,0.15888,0.25011,0.1245,0.04975,2.56063,2.79533,2.58888,0.0018416,0.0018416,0.0018416
10,547.323,2.40826,1.72974,2.25919,0.32502,0.29143,0.2471,0.0939,2.52408,2.49142,2.43622,0.0018218,0.0018218,0.0018218
11,602.014,2.38558,1.6905,2.2034,0.4466,0.33207,0.31739,0.12468,2.41867,2.01592,2.39963,0.001802,0.001802,0.001802
12,654.786,2.39803,1.67152,2.15319,0.37067,0.32797,0.27891,0.10426,2.37679,2.46256,2.29286,0.0017822,0.0017822,0.0017822
13,708.497,2.41821,1.76162,2.16251,0.49435,0.42584,0.40438,0.16305,2.25479,1.93437,2.15447,0.0017624,0.0017624,0.0017624
14,761.394,2.34005,1.69944,2.11481,0.56216,0.42932,0.45676,0.1842,2.20109,1.76691,2.15057,0.0017426,0.0017426,0.0017426
15,813.571,2.30107,1.63831,2.07691,0.55838,0.45977,0.47171,0.2013,2.13919,1.67768,2.06724,0.0017228,0.0017228,0.0017228
16,866.293,2.24663,1.6487,2.06391,0.5595,0.44019,0.47777,0.21365,2.09175,1.65773,2.0274,0.001703,0.001703,0.001703
17,920.399,2.21781,1.58983,1.99484,0.56105,0.49369,0.49787,0.21546,2.0859,1.74643,1.99582,0.0016832,0.0016832,0.0016832
18,973.904,2.1964,1.55835,1.95798,0.55153,0.4702,0.48095,0.20884,2.08701,1.87181,1.93382,0.0016634,0.0016634,0.0016634
19,1026.72,2.17669,1.55076,1.91805,0.58377,0.48325,0.50618,0.23645,1.99288,1.60631,1.8941,0.0016436,0.0016436,0.0016436
20,1080.53,2.16072,1.55732,1.93797,0.50156,0.46746,0.45708,0.21057,2.03396,1.68491,1.93519,0.0016238,0.0016238,0.0016238
21,1134.22,2.17748,1.57666,1.9554,0.57117,0.4776,0.49741,0.22786,2.036,1.61623,1.92961,0.001604,0.001604,0.001604
22,1187.79,2.16055,1.51666,1.88975,0.58535,0.49326,0.51093,0.22781,2.01593,1.58572,1.89432,0.0015842,0.0015842,0.0015842
